D33I06	D33I07	D33I08	D33I10	D33J01	D34G04	D34G05	D34G06	D34G07	D34G09	D34G10
LOC113026175	13	11	32	25	2	6	2	13	0	1	0
LOC113026190	126	113	168	146	254	906	908	589	175	1091	250
LOC113026191	278	293	500	119	297	1126	932	854	182	1640	140
LOC113026194	0	0	0	0	2	1	1	0	0	0	0
LOC113026195	37	35	7	30	110	153	151	21	44	67	25
LOC113026196	5	16	7	9	28	113	72	33	44	111	25
LOC113026198	93	25	35	62	68	20	35	15	3	33	11
LOC113026200	10	1	43	39	13	22	12	20	0	38	2
LOC113026201	28	39	2	16	10	29	5	11	12	12	17
LOC113026211	0	0	0	0	0	0	0	1	0	4	0
LOC113026212	8	3	0	16	7	0	0	1	0	0	0
LOC113026213	4	2	7	34	5	1	5	24	5	0	5
LOC113026215	65	12	26	22	37	164	94	76	26	127	41
LOC113026216	80	66	52	67	68	92	48	69	80	108	27
LOC113026218	49	43	71	36	123	226	114	44	17	71	8
LOC113026220	105	19	3	79	281	129	215	7	10	149	10
LOC113026222	0	0	0	0	0	0	0	0	0	0	0
LOC113026223	0	10	4	9	6	4	7	0	1	4	0
LOC113026224	38	40	49	81	102	355	187	88	46	136	30
LOC113026228	5	0	16	17	1	2	10	19	3	6	8
LOC113026229	10	2	3	13	14	23	31	24	6	13	0
LOC113026230	185	99	199	120	83	253	200	108	32	207	52
LOC113026231	37	16	59	14	150	163	166	22	0	50	0
LOC113026232	0	0	0	0	0	0	0	0	0	0	0
LOC113026233	0	0	0	0	0	0	0	0	0	0	0
LOC113026237	255	210	84	207	703	1842	1451	297	165	893	136
LOC113026238	20	44	1	24	49	358	271	17	6	114	13
LOC113026239	199	68	40	44	252	341	312	40	7	165	18
LOC113026240	104	99	98	92	222	784	562	104	104	342	97
LOC113026241	92	34	15	46	106	173	123	49	56	54	14
LOC113026243	3	5	0	10	11	43	27	14	3	7	6
LOC113026244	36	2	219	111	16	60	250	184	78	78	71
LOC113026245	226	157	394	281	263	1511	983	641	217	849	240
LOC113026246	42	89	23	98	100	102	308	378	887	508	386
LOC113026247	16	3	4	3	5	14	1	4	11	6	0
LOC113026248	36	18	71	55	20	46	91	72	8	35	16
LOC113026250	72	56	41	66	49	57	31	17	5	28	9
LOC113026251	0	3	0	1	1	0	14	0	0	2	0
LOC113026252	89	57	107	42	82	93	105	76	11	174	18
LOC113026253	24	15	3	5	78	57	65	7	0	30	4
LOC113026255	214	335	85	151	318	516	418	117	31	276	88
LOC113026259	99	99	73	65	139	595	496	237	63	361	90
LOC113026260	0	0	12	0	5	3	3	5	0	0	0
LOC113026261	13	6	5	4	82	168	162	5	0	23	6
LOC113026264	22	52	54	44	100	280	209	26	1	80	5
LOC113026266	10	4	11	3	15	85	38	28	5	81	4
LOC113026267	119	97	140	80	30	522	139	206	39	186	42
LOC113026272	80808	53151	59171	41022	30185	42460	17402	34858	25056	39232	18874
LOC113026273	63	29	64	33	41	20	9	18	2	19	0
LOC113026274	0	4	0	2	19	20	28	11	0	0	0
LOC113026275	0	4	5	1	0	18	27	0	0	14	0
LOC113026276	0	0	0	0	0	0	0	0	0	0	0
LOC113026284	89	148	115	131	206	430	455	289	132	413	134
LOC113026285	159	106	13	48	116	77	50	10	6	15	0
LOC113026286	0	0	15	1	0	1	0	0	0	36	0
LOC113026289	111	247	34	188	444	880	1260	205	5	522	30
LOC113026290	16	5	23	17	23	143	158	56	18	133	24
LOC113026293	7	4	16	5	10	14	32	3	8	26	5
LOC113026294	0	1	0	0	0	0	2	0	0	0	0
LOC113026295	86	93	83	124	157	571	350	172	31	323	43
LOC113026299	116	149	125	125	235	458	318	159	76	240	59
LOC113026301	22	8	5	13	24	18	17	10	2	5	3
LOC113026302	5	6	6	17	12	16	2	6	0	2	0
LOC113026307	151	163	110	190	362	379	310	113	38	283	19
LOC113026308	2240	1514	1855	1179	2176	3260	1937	1881	955	3174	638
LOC113026310	14	1	7	1	10	50	38	13	0	28	3
LOC113026311	0	3	0	0	0	0	0	0	0	0	0
LOC113026313	35	4	31	0	1	18	4	0	0	3	4
LOC113026314	75	12	23	21	16	60	31	9	1	29	0
LOC113026316	8	0	5	0	0	4	4	9	0	13	4
LOC113026317	275	131	293	200	378	1714	391	657	195	435	256
LOC113026318	112	61	56	58	121	232	213	82	49	148	30
LOC113026319	245	134	183	104	128	217	108	83	75	187	62
LOC113026320	172	216	352	404	781	1549	1143	944	772	1139	660
LOC113026321	1	0	0	0	0	3	0	0	0	0	1
LOC113026322	0	6	0	5	2	28	31	0	0	10	0
LOC113026324	0	4	15	0	1	3	15	2	0	1	0
LOC113026325	52	58	116	27	46	146	49	71	58	95	22
LOC113026326	21	15	25	11	48	40	19	14	0	27	1
LOC113026327	14	328	30	349	71	680	49	6	5	35	12
LOC113026328	4	7	2	8	5	9	4	2	0	1	0
LOC113026329	7	3	2	2	10	18	6	84	25	11	0
LOC113026330	9	1	18	8	14	16	3	7	0	12	3
LOC113026331	361	230	816	219	1023	511	662	484	296	1001	265
LOC113026334	0	0	0	3	0	4	2	5	0	2	1
LOC113026338	11	6	3	9	2	10	11	11	4	7	5
LOC113026339	17	1	6	11	6	11	15	4	0	1	0
LOC113026342	0	0	0	0	0	0	0	0	0	0	0
LOC113026346	105	5	28	11	25	656	138	314	140	263	311
LOC113026351	85	67	79	89	131	188	119	55	26	111	39
LOC113026352	16	15	18	23	76	177	132	20	8	98	18
LOC113026354	28	18	11	5	23	22	48	20	0	26	9
LOC113026355	5	2	0	7	0	6	1	4	2	5	0
LOC113026357	50	44	38	65	161	121	108	15	3	44	0
LOC113026359	6	1	1	0	1	0	1	0	2	0	0
LOC113026360	136	15	81	104	47	242	312	157	80	353	69
LOC113026361	15	29	12	5	31	156	233	27	0	90	19
LOC113026363	15	8	17	22	1	20	0	11	0	22	0
LOC113026367	123	153	62	128	378	330	416	44	8	169	8
LOC113026370	0	0	0	0	0	3	3	0	0	4	0
LOC113026372	13	35	64	69	138	159	154	51	27	104	15
LOC113026373	0	0	0	0	0	6	2	0	0	1	0
LOC113026374	29	17	42	27	72	134	71	22	2	60	0
LOC113026378	0	0	2	0	0	0	5	0	0	0	0
LOC113026379	70	99	165	62	35	288	361	367	38	677	51
LOC113026380	90	95	102	117	128	355	414	286	136	363	180
LOC113026381	139	45	101	50	58	103	51	30	0	10	5
LOC113026382	4774	2326	4675	2343	1366	18123	5859	9166	2472	8238	3283
LOC113026384	21	3	1	8	30	17	14	1	0	20	3
LOC113026385	405	303	647	283	456	545	448	341	167	774	72
LOC113026388	108	115	109	58	127	294	227	92	65	206	24
LOC113026389	126	78	43	61	79	204	100	28	4	76	13
LOC113026394	5	2	2	2	1	0	12	0	0	0	0
LOC113026398	0	0	0	0	0	0	0	0	0	0	0
LOC113026400	75	65	62	52	106	369	273	173	29	146	47
LOC113026402	363	241	375	141	173	734	223	438	84	287	268
LOC113026403	51	20	36	18	16	158	47	84	37	81	18
LOC113026405	24	62	37	99	200	652	791	693	577	904	703
LOC113026406	0	0	32	6	4	368	208	259	33	246	20
LOC113026407	20	2	33	26	5	93	160	122	53	51	33
LOC113026408	73	30	60	49	130	323	228	67	7	48	18
LOC113026409	40	73	95	36	42	109	78	119	21	151	45
LOC113026411	9	23	0	14	25	16	120	103	39	532	17
LOC113026412	113	40	116	129	175	270	212	78	23	157	18
LOC113026413	21	41	30	47	187	992	610	196	58	235	95
LOC113026414	427	423	368	372	598	1030	1184	963	478	1815	237
LOC113026417	56	95	22	37	83	256	174	67	14	114	26
LOC113026420	91	96	166	85	62	391	232	223	104	415	60
LOC113026421	41	64	59	48	67	113	116	77	16	165	26
LOC113026422	106	85	126	57	119	120	115	75	12	156	21
LOC113026424	3311	2337	3125	1224	2741	3238	1678	366	181	1216	299
LOC113026429	14	3	4	6	8	7	20	0	0	0	0
LOC113026431	304	149	33	216	499	325	305	21	26	132	8
LOC113026433	0	0	0	0	0	0	0	0	0	0	0
LOC113026435	254	297	525	197	464	1045	657	414	168	734	105
LOC113026437	27	3	52	11	0	143	21	66	0	16	0
LOC113026438	305	710	738	104	260	695	752	310	211	1541	62
LOC113026439	184	41	335	147	80	343	61	201	61	131	102
LOC113026440	49	13	0	23	40	4	15	2	1	25	21
LOC113026441	0	3	0	0	4	1	1	0	0	0	0
LOC113026442	483	240	828	179	217	705	9	374	47	234	150
LOC113026443	36	11	178	35	54	85	1	70	3	46	8
LOC113026444	0	0	0	0	0	0	0	0	0	0	0
LOC113026445	34	34	94	87	62	50	32	41	278	84	205
LOC113026446	0	0	0	0	0	0	0	0	0	0	0
LOC113026447	361	29	466	321	160	249	57	187	141	105	39
LOC113026448	235	36	331	328	122	283	86	233	161	166	34
LOC113026449	0	0	0	3	0	0	3	0	0	0	1
LOC113026450	11	17	6	9	1	8	0	2	0	0	4
LOC113026452	16	13	10	86	2	58	26	68	13	88	5
LOC113026455	117	96	205	147	58	193	141	134	25	177	17
LOC113026456	44	59	77	47	88	211	98	122	43	141	116
LOC113026457	6	6	0	2	10	18	15	3	4	11	0
LOC113026459	618	333	331	564	875	891	977	158	21	498	59
LOC113026461	0	0	0	0	0	2	0	2	0	0	0
LOC113026464	30	30	6	30	134	235	317	46	34	87	10
LOC113026466	128	238	45	170	156	403	616	700	547	631	465
LOC113026469	34	38	13	35	86	196	212	47	6	72	9
LOC113026470	17	13	11	9	7	17	37	40	24	37	36
LOC113026472	89	224	13	82	67	21	371	454	163	431	168
LOC113026473	0	0	0	0	0	0	0	0	0	0	0
LOC113026474	18	17	16	19	36	91	138	43	13	56	0
LOC113026477	21	38	23	25	170	261	170	13	27	99	3
LOC113026480	693	242	896	490	233	2510	469	1029	169	870	335
LOC113026484	0	0	0	0	0	0	0	0	0	0	0
LOC113026486	1	3	0	16	5	0	4	0	0	6	0
LOC113026488	2	0	0	0	2	12	10	0	0	8	0
LOC113026489	7	8	5	2	18	20	21	5	0	13	0
LOC113026494	170	135	253	122	257	1100	505	329	89	360	111
LOC113026495	11	0	0	0	1	5	3	0	0	0	0
LOC113026497	329	137	305	200	271	1556	274	459	127	353	334
LOC113026504	9	9	31	1	36	81	40	20	3	16	11
LOC113026505	484	37	275	14	32	42	77	211	30	73	18
LOC113026508	0	0	2	2	13	62	64	5	3	36	0
LOC113026510	138	247	137	167	80	269	213	282	53	334	61
LOC113026511	126	152	160	87	146	266	170	145	14	254	54
LOC113026512	106	91	90	75	107	183	92	51	7	103	13
LOC113026513	29	35	0	16	75	113	143	10	5	48	1
LOC113026515	126	130	115	127	162	251	185	128	22	162	51
LOC113026516	55	106	149	46	172	347	323	47	33	150	29
LOC113026517	0	1	5	5	18	23	8	0	0	14	0
LOC113026518	102	160	10	209	280	570	1091	827	817	1054	881
LOC113026520	78	80	45	20	114	276	440	75	44	261	42
LOC113026522	1110	551	507	540	700	1230	670	576	264	848	238
LOC113026523	311	122	134	244	167	170	135	102	133	75	33
LOC113026526	33	59	21	42	112	583	597	46	46	192	17
LOC113026527	17	1	1	3	0	0	6	0	0	0	0
LOC113026529	17	0	4	4	0	26	83	23	2	8	19
LOC113026530	16	17	43	58	7	14	48	25	21	49	8
LOC113026531	17	5	0	1	2	6	15	2	0	18	0
LOC113026534	0	2	0	0	0	15	16	4	0	5	0
LOC113026535	60	13	74	98	14	28	57	319	16	86	21
LOC113026536	0	0	0	0	0	0	0	0	0	0	0
LOC113026538	6335	2875	912	5832	8153	5438	6151	823	822	6260	594
LOC113026539	22	30	18	10	3	27	18	5	0	3	0
LOC113026540	992	1115	747	1593	1647	573	2331	2105	1580	1834	1342
LOC113026542	197	120	74	96	166	165	126	123	43	123	49
LOC113026543	30	32	49	64	38	104	37	25	9	100	6
LOC113026544	77	43	27	88	227	264	169	77	126	191	40
LOC113026545	1106	1114	827	778	1271	3030	1767	603	51	1320	134
LOC113026547	40	9	15	5	32	168	158	34	13	131	25
LOC113026550	0	0	0	0	0	2	0	0	0	1	0
LOC113026551	27	50	38	40	205	180	117	71	5	71	26
LOC113026552	11	13	235	53	12	216	100	49	2	212	4
LOC113026555	214	270	151	269	755	786	874	340	119	476	104
LOC113026557	48	18	48	11	4	23	51	97	18	53	78
LOC113026558	292	457	1366	123	250	577	416	441	91	1186	48
LOC113026559	0	14	19	4	1	25	9	15	1	10	8
LOC113026562	76	60	68	19	51	152	141	59	27	181	12
LOC113026563	24	55	100	53	124	858	580	150	23	271	37
LOC113026564	536	73	1974	1025	428	2005	4212	2006	2000	1064	2968
LOC113026566	37	20	30	18	214	189	126	2	6	53	0
LOC113026567	219	257	343	177	189	931	524	469	167	484	196
LOC113026568	0	0	6	5	6	34	3	0	1	1	0
LOC113026571	0	0	0	0	0	0	0	0	0	0	0
LOC113026573	48	16	15	22	91	76	96	2	0	45	0
LOC113026574	7	5	21	39	17	11	29	26	19	34	21
LOC113026575	81	33	10	33	67	46	51	5	0	28	0
LOC113026576	30	8	4	11	24	160	76	30	5	34	4
LOC113026577	91	144	200	66	158	287	192	91	40	218	41
LOC113026578	58	65	13	26	322	279	312	19	1	60	6
LOC113026583	9	19	0	5	4	13	22	6	3	11	4
LOC113026587	6	15	14	10	35	188	148	15	6	47	4
LOC113026588	0	0	0	0	0	0	0	0	0	0	0
LOC113026589	9	6	2	2	5	16	39	13	0	13	0
LOC113026590	343	237	381	231	413	953	551	319	101	498	119
LOC113026591	340	174	172	137	142	995	728	875	145	838	145
LOC113026593	68	65	39	62	154	477	339	62	30	190	48
LOC113026594	31	24	7	26	27	99	91	18	12	95	13
LOC113026595	2	0	4	0	2	3	2	0	0	3	0
LOC113026596	53	53	6	44	201	90	215	11	0	67	5
LOC113026597	0	0	0	0	0	0	0	0	0	2	0
LOC113026598	169	88	29	120	343	587	829	241	113	406	112
LOC113026599	591	558	572	339	556	1074	656	452	228	867	154
LOC113026600	77	122	19	103	30	67	178	176	47	241	43
LOC113026603	0	7	8	3	13	13	42	7	2	5	13
LOC113026604	14	27	38	10	39	37	54	57	2	121	16
LOC113026605	247	97	202	123	190	437	382	154	89	422	74
LOC113026606	21	48	26	16	198	616	554	1	4	119	7
LOC113026607	0	1	0	1	5	1	9	0	0	0	0
LOC113026609	0	0	1	0	0	1	3	0	0	0	0
LOC113026613	0	0	0	0	1	34	2	0	0	6	0
LOC113026614	391	211	459	203	253	734	646	76	35	157	114
LOC113026618	15	26	6	18	18	30	47	79	14	80	11
LOC113026619	109	88	195	109	78	112	107	56	15	84	14
LOC113026621	14	48	22	33	105	99	107	9	5	51	1
LOC113026622	54	39	36	31	119	227	244	98	69	151	60
LOC113026623	7	0	3	17	5	19	3	17	5	2	0
LOC113026624	0	0	3	10	9	2	0	0	0	0	0
LOC113026626	22	24	30	32	9	35	35	22	3	14	45
LOC113026627	0	5	0	0	0	4	5	0	0	3	0
LOC113026629	138	125	98	40	211	823	140	24	12	154	10
LOC113026630	0	42	0	1	42	20	36	0	4	13	0
LOC113026632	195	123	126	150	243	393	231	120	110	220	14
LOC113026635	3	19	8	4	34	152	61	6	0	26	5
LOC113026638	0	0	0	0	0	0	0	0	0	0	0
LOC113026640	0	0	0	0	0	0	0	1	0	0	0
LOC113026641	151	202	233	111	191	405	153	33	32	105	31
LOC113026642	4	11	5	7	0	4	0	0	0	0	4
LOC113026643	0	0	9	0	0	9	0	8	0	0	0
LOC113026644	26	27	15	22	7	23	6	29	1	20	12
LOC113026645	0	0	0	1	0	4	1	0	0	0	0
LOC113026647	4	24	0	15	31	102	72	29	8	58	11
LOC113026650	174	147	222	65	54	299	37	101	48	146	49
LOC113026652	90	76	20	135	119	233	209	24	11	186	32
LOC113026653	20	51	0	58	187	191	113	3	0	37	0
LOC113026654	0	0	1	0	0	0	0	0	0	0	0
LOC113026656	1824	369	6580	5483	910	1212	7337	19374	10457	7578	3573
LOC113026658	53	14	36	51	10	219	28	62	2	30	19
LOC113026663	249	194	38	283	631	555	751	91	11	395	1
LOC113026664	120	167	37	116	435	800	555	158	180	251	100
LOC113026665	82	3	11	67	34	56	32	38	0	22	13
LOC113026668	587	382	244	293	231	667	382	223	10	346	30
LOC113026669	26	9	5	11	28	46	54	0	1	18	3
LOC113026670	770	770	1786	993	575	2170	119	791	261	1021	297
LOC113026672	1265	644	1009	773	828	1321	727	1382	432	1056	462
LOC113026675	204	109	130	73	117	170	127	122	32	151	65
LOC113026678	68	36	14	72	100	58	71	32	6	45	0
LOC113026680	47	13	89	38	14	203	36	62	7	89	9
LOC113026681	0	4	3	2	3	6	6	2	2	0	0
LOC113026682	254	73	60	80	106	331	263	325	138	166	183
LOC113026684	194	85	317	197	276	1222	598	505	156	625	168
LOC113026687	54	18	29	14	14	56	60	130	9	57	9
LOC113026688	24	15	16	8	29	81	23	2	2	24	4
LOC113026689	15	12	0	13	53	224	150	18	5	61	2
LOC113026690	0	0	0	1	2	7	16	0	7	4	0
LOC113026692	219	166	31	99	164	155	268	290	74	287	161
LOC113026693	327	509	130	245	299	295	403	573	166	388	258
LOC113026694	2009	1276	805	649	1931	2385	1267	513	534	697	460
LOC113026698	0	0	0	0	0	0	1	0	0	2	0
LOC113026701	46	32	182	76	24	123	134	230	148	84	94
LOC113026703	79	70	30	88	99	58	41	31	14	58	7
LOC113026706	0	0	0	0	0	0	0	0	0	0	0
LOC113026707	0	0	0	0	0	1	3	4	0	0	0
LOC113026708	40	9	10	7	10	15	15	17	5	19	4
LOC113026709	0	0	0	0	3	0	0	0	0	0	0
LOC113026715	180	114	206	148	145	767	332	255	151	456	156
LOC113026716	15	25	15	13	32	221	123	46	8	60	9
LOC113026717	272	247	195	182	311	261	296	194	55	252	128
LOC113026736	62	83	44	15	55	166	88	98	22	95	11
LOC113026743	23	12	28	36	113	344	170	12	10	42	23
LOC113026744	33	14	32	12	17	31	25	6	0	21	0
LOC113026753	412	303	367	232	306	373	266	189	91	333	74
LOC113026756	476	186	662	426	392	2688	970	1067	297	2225	237
LOC113026758	45	32	44	40	37	227	85	76	31	108	20
LOC113026759	0	0	0	1	4	7	2	1	0	1	0
LOC113026760	142	126	93	103	189	227	186	124	19	227	54
LOC113026762	5	2	0	0	9	3	8	0	0	2	0
LOC113026764	1753	1651	2445	1452	971	15207	8413	5721	1471	7053	1711
LOC113026765	5026	4009	3438	3252	2831	2160	1886	2894	3104	2695	1950
LOC113026766	271	72	249	95	110	551	325	173	30	705	83
LOC113026767	1948	1879	794	2065	2798	3499	2930	595	73	1513	59
LOC113026768	34	43	40	39	47	374	261	217	26	510	28
LOC113026770	48	30	40	57	122	273	272	134	72	148	68
LOC113026771	0	0	0	0	0	0	0	0	0	0	0
LOC113026773	29	51	40	36	34	249	195	64	53	121	16
LOC113026774	0	0	4	1	0	0	0	0	0	0	0
LOC113026775	0	0	0	0	0	0	0	2	3	0	0
LOC113026776	0	0	0	0	0	0	0	0	0	0	0
LOC113026782	2915	2609	2440	1861	2019	2727	3787	8342	3259	4862	2224
LOC113026784	140	61	369	125	89	1006	291	344	119	290	158
LOC113026793	159	109	134	91	101	212	86	104	34	130	29
LOC113026796	325	439	523	339	496	831	436	376	215	434	147
LOC113026797	0	3	2	1	12	14	20	2	12	16	2
LOC113026802	285	286	154	437	414	578	495	241	1	464	5
LOC113026803	0	0	0	3	1	4	0	0	0	0	0
LOC113026805	556	229	567	264	135	1617	236	985	130	342	333
LOC113026808	37	22	19	13	101	134	231	4	8	45	2
LOC113026810	32	18	7	26	34	50	49	27	3	38	2
LOC113026812	4812	2994	3476	5385	5624	4647	4909	3303	3252	3992	1571
LOC113026813	11	22	56	24	12	99	134	188	19	298	12
LOC113026814	478	372	476	222	290	381	193	357	120	624	92
LOC113026815	9	25	18	12	16	147	143	88	7	107	10
LOC113026816	222	100	94	59	129	399	97	150	22	183	41
LOC113026817	437	329	97	338	868	437	283	30	13	229	38
LOC113026818	32	11	29	54	31	59	112	219	111	97	42
LOC113026819	44	26	15	20	52	531	257	177	14	219	36
LOC113026820	0	0	1	0	4	0	0	0	0	0	0
LOC113026821	2	10	0	5	2	0	2	6	3	18	28
LOC113026822	198	148	107	191	371	601	452	252	101	412	55
LOC113026824	143	143	107	192	268	547	335	240	111	362	80
LOC113026828	16	17	43	26	19	36	77	44	15	59	7
LOC113026832	1	7	11	9	15	2	61	64	40	93	13
LOC113026834	9	36	16	23	20	56	72	79	11	102	17
LOC113026837	39	111	27	68	82	50	81	119	143	114	125
LOC113026838	378	153	44	349	898	1004	1178	65	22	657	27
LOC113026840	744	258	316	398	547	1704	1162	245	72	661	72
LOC113026841	727	639	1021	607	530	1572	742	1248	766	934	465
LOC113026843	0	0	0	0	0	0	0	0	0	0	0
LOC113026845	0	0	0	0	0	0	0	0	5	0	0
LOC113026848	9	32	3	18	219	179	300	10	6	71	1
LOC113026849	23	0	6	2	19	22	14	5	0	6	0
LOC113026857	27	103	61	32	72	244	141	153	57	228	76
LOC113026859	405	494	696	274	607	1630	1415	953	434	1753	541
LOC113026861	192	157	302	280	322	846	938	681	309	709	357
LOC113026862	307	131	18	258	400	157	82	9	8	69	8
LOC113026863	331	439	332	264	194	818	388	744	124	535	202
LOC113026864	0	4	3	9	31	67	51	17	0	19	5
LOC113026866	44	34	33	25	24	230	31	112	35	68	67
LOC113026868	111	69	16	19	178	216	199	4	5	83	3
LOC113026869	21	2	13	10	25	36	117	4	5	14	0
LOC113026871	65	78	64	80	84	188	242	55	21	132	45
LOC113026873	509	366	92	230	1264	880	1028	32	22	259	8
LOC113026877	18	7	0	9	33	16	58	2	0	8	0
LOC113026880	54	9	45	5	28	167	116	136	9	86	17
LOC113026881	196	126	58	142	323	81	260	168	13	169	22
LOC113026882	436	245	79	511	679	761	658	48	25	386	88
LOC113026883	1	0	100	2	2	28	0	0	0	0	0
LOC113026884	109	78	133	58	38	142	59	51	0	156	16
LOC113026885	18	9	46	38	14	440	224	203	50	219	85
LOC113026888	0	0	0	0	0	0	0	0	0	0	0
LOC113026890	0	0	0	0	0	0	0	0	0	0	0
LOC113026891	1316	1789	925	1388	898	665	1448	2092	601	1746	548
LOC113026893	415	1117	144	519	1251	3978	1854	251	37	539	77
LOC113026894	30	27	1	6	96	56	107	7	0	25	0
LOC113026895	750	660	690	517	343	3225	790	1855	351	989	935
LOC113026896	296	193	22	448	735	232	265	31	1	242	25
LOC113026897	18	25	7	187	64	246	75	21	7	171	7
LOC113026898	1	2	11	4	26	4	11	0	2	5	0
LOC113026901	214	132	124	150	184	124	127	40	33	107	23
LOC113026907	2	0	0	0	6	3	4	0	0	1	22
LOC113026908	16	5	25	17	3	27	43	100	23	24	13
LOC113026909	164	91	135	100	150	747	345	210	55	230	86
LOC113026910	13	2	46	51	13	67	216	336	65	112	57
LOC113026912	0	0	0	0	0	0	0	0	0	0	0
LOC113026916	3	4	5	22	8	38	28	12	5	14	4
LOC113026917	45	29	28	26	53	223	285	68	0	112	9
LOC113026921	1026	613	249	608	1709	832	621	336	280	476	215
LOC113026923	9	0	0	9	25	109	62	27	3	55	11
LOC113026924	60	32	68	18	54	130	81	73	22	93	12
LOC113026926	60	47	53	14	45	57	27	1	2	22	0
LOC113026927	268	229	757	332	205	663	117	237	100	194	92
LOC113026928	90	77	171	106	283	1327	1152	217	92	549	122
LOC113026930	427	814	1190	227	268	907	666	382	129	1429	98
LOC113026933	52	32	39	35	82	97	74	97	121	182	92
LOC113026935	0	0	0	0	1	0	0	0	0	0	0
LOC113026939	311	288	245	247	810	3245	2013	2165	294	1273	392
LOC113026940	287	340	318	193	219	1074	594	312	72	420	74
LOC113026941	43	14	35	41	104	250	480	158	98	238	124
LOC113026942	112	185	131	154	137	204	322	227	123	251	98
LOC113026943	450	371	496	412	353	1543	827	916	389	1149	349
LOC113026944	40	40	31	38	73	202	112	71	13	185	29
LOC113026945	0	8	11	11	40	90	65	34	5	70	2
LOC113026946	0	0	0	0	0	0	0	0	0	0	0
LOC113026947	49	36	41	41	87	301	181	37	28	97	33
LOC113026948	10	1	7	4	0	5	5	0	1	0	76
LOC113026949	466	431	487	256	409	1396	408	490	122	617	207
LOC113026951	46	56	113	65	94	182	88	56	10	73	16
LOC113026955	37	78	58	26	70	158	143	82	33	180	30
LOC113026956	0	0	0	0	0	0	0	0	0	0	0
LOC113026957	0	0	0	0	0	0	0	0	0	0	0
LOC113026958	5	0	0	0	5	6	14	2	0	3	0
LOC113026962	913	735	1089	934	689	2520	1960	1679	485	1522	691
LOC113026964	2	13	32	19	27	360	308	103	20	252	24
LOC113026965	7	19	8	4	20	34	18	4	0	10	2
LOC113026966	43	9	1	8	104	21	86	3	0	17	0
LOC113026968	6	0	0	0	1	0	0	5	0	1	0
LOC113026970	0	0	3	0	0	0	0	0	0	0	0
LOC113026972	0	0	0	0	0	0	0	3	0	0	0
LOC113026973	0	0	0	0	0	0	0	0	0	2	3
LOC113026974	0	0	0	0	0	0	0	0	0	1	0
LOC113026976	0	0	1	0	0	3	0	0	0	0	0
LOC113026977	0	0	1	1	0	1	0	0	0	0	0
LOC113026978	140	337	14	203	187	36	568	754	388	622	458
LOC113026979	245	258	114	205	278	375	396	284	116	221	109
LOC113026980	0	0	0	0	0	0	0	0	0	0	0
LOC113026981	0	1	0	0	0	0	0	0	0	0	0
LOC113026982	0	0	0	0	0	0	0	0	0	0	0
LOC113026984	0	3	1	0	0	0	0	0	0	2	1
LOC113026986	0	0	0	0	0	0	0	0	0	0	0
LOC113026987	0	0	0	0	0	0	0	0	0	0	0
LOC113026988	0	0	0	0	0	0	0	0	0	0	0
LOC113026989	6	0	0	0	0	0	3	0	0	0	0
LOC113026990	0	0	0	0	0	0	0	0	0	0	0
LOC113026991	0	0	0	0	0	0	0	0	0	0	0
LOC113026992	0	0	0	0	0	0	0	0	0	0	0
LOC113026993	0	0	0	3	0	0	0	0	0	2	0
LOC113026994	0	0	0	0	0	0	0	0	0	0	0
LOC113026995	0	0	0	0	0	0	0	0	0	0	0
LOC113026996	0	5	0	0	0	1	1	0	0	0	0
LOC113026997	123	285	656	419	436	533	531	565	639	771	383
LOC113026998	0	0	0	0	0	0	0	0	0	0	0
LOC113026999	0	1	0	0	0	0	0	0	0	0	0
LOC113027000	0	0	0	0	0	1	0	0	0	0	0
LOC113027001	0	0	0	0	0	0	0	0	0	3	0
LOC113027003	0	0	0	0	0	0	0	0	0	0	0
LOC113027004	0	5	1	7	7	13	4	4	0	14	0
LOC113027007	78	18	630	219	36	352	551	293	165	224	308
LOC113027008	8	3	0	0	4	35	43	2	0	11	4
LOC113027016	35	67	65	51	71	135	173	69	32	75	35
LOC113027018	11	60	29	11	74	72	70	16	0	23	0
LOC113027020	0	0	0	0	0	1	0	0	0	0	0
LOC113027021	26	7	10	12	53	64	72	2	8	20	0
LOC113027022	0	0	0	0	0	0	0	0	0	0	0
LOC113027025	320	879	40	435	207	219	1488	1997	236	1575	276
LOC113027026	77	55	99	60	50	140	80	41	4	36	2
LOC113027032	4	8	2	0	0	11	10	1	0	6	0
LOC113027033	7	13	5	3	10	12	15	2	0	1	0
LOC113027036	268	171	179	168	221	425	354	292	87	220	91
LOC113027040	1891	615	2943	3378	916	1861	4798	17258	8799	10034	2567
LOC113027041	0	0	0	0	3	7	0	0	0	0	0
LOC113027043	23	74	27	4	16	217	49	4	14	75	9
LOC113027044	22	29	14	26	123	402	344	95	72	153	52
LOC113027047	228	364	210	352	400	392	795	1248	1736	1460	1128
LOC113027050	39	75	65	49	125	566	253	144	60	161	48
LOC113027051	120	174	162	101	105	464	531	300	129	495	159
LOC113027052	15	32	21	25	13	44	80	87	18	47	4
LOC113027054	269	202	194	158	338	402	248	156	97	335	97
LOC113027057	191	97	220	161	248	632	421	573	91	526	174
LOC113027059	103	97	82	86	196	576	619	144	26	279	14
LOC113027060	55	24	54	44	25	122	79	37	6	88	14
LOC113027070	42	76	84	59	127	88	180	14	6	50	10
